Date,Close_honda,Close_nisan,Close_tesla,Close_ford
2018-05-22,33.06,20.69,18.33,11.52
2018-05-23,33.03,20.53,18.61,11.44
2018-05-24,32.38,20.4,18.52,11.62
2018-05-25,32.03,20.38,18.6,11.51
2018-05-29,31.73,20.17,18.92,11.44
2018-05-30,31.53,20.06,19.45,11.55
2018-05-31,31.77,19.84,18.98,11.55
2018-06-01,32.0,19.8,19.45,11.71
2018-06-04,32.16,20.08,19.78,11.74
2018-06-05,31.95,19.84,19.4,11.83
2018-06-06,32.22,19.94,21.3,11.97
2018-06-07,32.12,20.06,21.08,12.03
2018-06-08,32.16,20.02,21.17,12.1
2018-06-11,32.66,20.12,22.14,12.03
2018-06-12,32.16,20.02,22.84,12.11
2018-06-13,32.4,20.06,22.98,12.02
2018-06-14,32.12,19.92,23.84,11.89
2018-06-15,31.81,19.77,23.88,11.88
2018-06-18,31.67,19.66,24.72,11.99
2018-06-19,31.3,19.66,23.5,11.89
2018-06-20,31.03,19.56,24.14,11.87
2018-06-21,30.66,19.48,23.17,11.71
2018-06-22,30.55,19.56,22.23,11.65
2018-06-25,30.05,19.36,22.2,11.5
2018-06-26,30.12,19.48,22.8,11.52
2018-06-27,29.28,19.42,22.97,11.42
2018-06-28,29.31,19.4,23.33,11.28
2018-06-29,29.27,19.44,22.86,11.07
2018-07-02,29.0,18.95,22.34,11.1
2018-07-03,28.9,18.83,20.72,10.99
2018-07-05,29.12,18.89,20.61,11.05
2018-07-06,29.19,19.02,20.6,11.06
2018-07-09,29.45,18.2,21.23,11.2
2018-07-10,29.61,18.67,21.5,11.25
2018-07-11,29.02,18.22,21.27,11.07
2018-07-12,29.19,18.16,21.11,11.05
2018-07-13,29.3,18.19,21.27,10.98
2018-07-16,29.16,18.2,20.67,10.85
2018-07-17,29.64,18.39,21.52,10.86
2018-07-18,29.52,18.39,21.6,10.87
2018-07-19,29.38,18.4,21.34,10.82
2018-07-20,29.19,18.4,20.9,10.56
2018-07-23,29.27,18.44,20.22,10.47
2018-07-24,29.66,18.64,19.83,10.57
2018-07-25,29.86,18.64,20.58,10.52
2018-07-26,29.98,18.58,20.44,9.89
2018-07-27,30.33,18.66,19.81,9.93
2018-07-30,30.44,18.88,19.34,10.07
2018-07-31,30.66,18.9,19.88,10.04
2018-08-01,30.6,18.77,20.06,9.9
2018-08-02,30.11,18.77,23.3,9.92
2018-08-03,30.66,18.73,23.22,10.04
2018-08-06,30.3,18.83,22.8,10.03
2018-08-07,30.73,18.95,25.3,10.08
2018-08-08,30.73,18.92,24.69,10.05
2018-08-09,30.23,18.72,23.5,9.91
2018-08-10,30.1,18.67,23.7,9.74
2018-08-13,29.69,18.72,23.77,9.46
2018-08-14,29.94,18.66,23.17,9.5
2018-08-15,29.44,18.56,22.58,9.45
2018-08-16,29.8,18.77,22.36,9.51
2018-08-17,30.0,18.73,20.36,9.55
2018-08-20,30.22,18.88,20.56,9.72
